name,calories,protein,carbs,fat
"Restaurant, Latino, pupusas con queso (pupusas, cheese)",2.56,0.1172,0.2239,0.1325
"Restaurant, Latino, pupusas del cerdo (pupusas, pork)",2.32,0.1151,0.2302,0.1043
"Restaurant, Latino, tamale, corn",1.86,0.0348,0.2668,0.0721
"Restaurant, Mexican, spanish rice",1.85,0.0328,0.3116,0.0529
"Restaurant, Mexican, refried beans",1.56,0.0691,0.1679,0.0677
"Restaurant, Chinese, egg rolls, assorted",2.5,0.0828,0.2729,0.1194
"Restaurant, Chinese, fried rice, without meat",1.74,0.0405,0.3279,0.0296
"CRACKER BARREL, steak fries",2.55,0.0326,0.3087,0.1318
"CRACKER BARREL, grilled sirloin steak",2.03,0.3152,0.0,0.0852
"CRACKER BARREL, macaroni n' cheese plate, from kid's menu",1.92,0.0646,0.1558,0.1151
"DENNY'S, french fries",2.82,0.0341,0.352,0.1413
"DENNY'S, top sirloin steak",1.82,0.289,0.0014,0.0734
"Restaurant, Chinese, lemon chicken",2.52,0.1187,0.2061,0.1355
"Restaurant, Chinese, general tso's chicken",2.95,0.129,0.2399,0.1636
"Restaurant, Chinese, kung pao chicken",1.29,0.0976,0.0687,0.0698
"Restaurant, Chinese, vegetable lo mein, without meat",1.21,0.0477,0.2016,0.0235
"Restaurant, Chinese, chicken and vegetables",0.95,0.0818,0.0538,0.0456
"Restaurant, Chinese, orange chicken",2.62,0.1446,0.2246,0.1268
"Restaurant, Italian, spaghetti with meat sauce",1.21,0.0579,0.164,0.0359
"Beverages, fruit-flavored drink, dry powdered mix, low calorie, with aspartame",2.18,0.0045,0.8738,0.0004
"Pectin, liquid",0.11,0.0,0.021,0.0
"Frozen novelties, ice cream type, vanilla ice cream, light, no sugar added, chocolate coated",2.21,0.064,0.2611,0.101
"Creamy dressing, made with sour cream and/or buttermilk and oil, reduced calorie",1.6,0.015,0.07,0.14
"Bologna, beef and pork, low fat",2.3,0.115,0.026,0.193
"Milk dessert, frozen, milk-fat free, chocolate",1.67,0.043,0.377,0.01
"Whipped topping, frozen, low fat",2.24,0.03,0.236,0.131
"Cream substitute, powdered, light",4.31,0.019,0.734,0.157
"Candies, MARS SNACKFOOD US, M&M's Peanut Butter Chocolate Candies",5.29,0.1016,0.5689,0.2932
"Babyfood, apple yogurt dessert, strained",0.93,0.008,0.195,0.016
"Vegetable oil-butter spread, reduced calorie",4.65,0.0,0.0,0.53
"Salad dressing, blue or roquefort cheese dressing, light",0.86,0.021,0.132,0.027
"Salad dressing, french dressing, reduced calorie",2.27,0.004,0.27,0.13
"Sausage, turkey and pork, fresh, bulk, patty or link, cooked",3.07,0.227,0.007,0.23
"Mayonnaise, made with tofu",3.22,0.0595,0.0306,0.3179
"Frankfurter, beef, low fat",1.4,0.12,0.016,0.095
"Milk, buttermilk, fluid, cultured, reduced fat",0.56,0.041,0.053,0.02
"Pork sausage rice links, brown and serve, cooked",4.07,0.137,0.0236,0.3763
"Salad dressing, blue or roquefort cheese dressing, fat-free",1.15,0.0152,0.256,0.0101
"Salad Dressing, mayonnaise-like, fat-free",0.84,0.002,0.155,0.027
"Candies, MARS SNACKFOOD US, MILKY WAY Midnight Bar",4.43,0.032,0.7122,0.175
"Oil, flaxseed, cold pressed",8.84,0.0011,0.0,0.9998
"Cheese, cottage, lowfat, 1% milkfat, lactose reduced",0.74,0.124,0.032,0.01
"Salad dressing, bacon and tomato",3.26,0.018,0.02,0.35
"Cheese, parmesan, low sodium",4.51,0.416,0.037,0.2999
"Jams, preserves, marmalade, reduced sugar",1.51,0.0,0.376,0.001
"Beverages, fruit-flavored drink, powder, with high vitamin C with other added vitamins, low calorie",2.27,0.0025,0.91,0.0016
"Tomato and vegetable juice, low sodium",0.22,0.006,0.0459,0.001
"Turkey, wing, smoked, cooked, with skin, bone removed",2.21,0.274,0.0,0.1241
"Turkey, drumstick, smoked, cooked, with skin, bone removed",2.0,0.279,0.0,0.098
"Beverages, Chocolate-flavored drink, whey and milk based",0.49,0.0064,0.1068,0.004
"Pork, cured, bacon, cooked, broiled, pan-fried or roasted, reduced sodium",5.41,0.3704,0.0143,0.4178
"Turkey, light or dark meat, smoked, cooked, skin and bone removed",1.62,0.293,0.0,0.05
"Hearts of palm, raw",1.15,0.027,0.2561,0.002
"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",3.39,0.1093,0.8065,0.0206
"Cheese, cottage, lowfat, 1% milkfat, with vegetables",0.67,0.109,0.03,0.01
Yeast extract spread,1.85,0.2388,0.2042,0.009
"Babyfood, juice, pear",0.43,0.0,0.1186,0.0
"Chicken, meatless, breaded, fried",2.34,0.2128,0.0851,0.1277
"Babyfood, meat, beef with vegetables, toddler",0.69,0.035,0.0872,0.021
"Frozen novelties, juice type, juice with cream",1.15,0.0141,0.2411,0.0141
Tofu yogurt,0.94,0.035,0.1596,0.018
"Alcoholic beverage, rice (sake)",1.34,0.005,0.05,0.0
"Millet, puffed",3.54,0.13,0.8,0.034
"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",3.8,0.1,0.78,0.03
"Babyfood, mixed fruit yogurt, strained",0.75,0.008,0.1623,0.008
"Beverages, ABBOTT, ENSURE PLUS, ready-to-drink",1.41,0.0516,0.1988,0.0452
"Babyfood, rice and apples, dry",3.96,0.067,0.8689,0.024
"Babyfood, juice, apple - cherry",0.47,0.002,0.112,0.001
"Milk, imitation, non-soy",0.46,0.016,0.053,0.02
"Babyfood, cereal, rice with pears and apple, dry, instant fortified",3.89,0.066,0.885,0.009
"Babyfood, banana no tapioca, strained",0.91,0.01,0.2134,0.002
